Section,Discription,Bail,Punishment,Triable_By,Congizance,Unnamed: 7,Offence
IPC Section 109,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have entangled him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Same As Offence,Same As Offence,Same As Offence,Same As Offence,,"Abetment of any offence, if the act abetted is committed in consequence, and where no express provision is made for its punishment"
IPC Section 110,"Whoever abets the commission of an offence shall, if the person abetted does the act with a different intention or knowledge from that of the abettor, be punished with the punishment provided for the offence which would have been committed if the act had been done with thI am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds themselves inadvertently entangled in a situation that has led to uncertainty and distress. Despite their earnest efforts to adhere to the law, unforeseen circumstances have ensnared them in a matter where their involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. Their commitment to integrity remains unwavering, and they are prepared to provide any assistance required to clarify their position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. They seek no special treatment but merely a fair opportunity to present their case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to them, and they are determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review their circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with their integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration they rightfully deserve.e intention or knowledge of the abettor and with no other.",Same As Offence,Same As Offence,Same As Offence,Same As Offence,,"Abetment of any offence, if the person abetted does the act with a different intention from that of the Abettor"
IPC Section 111,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds themselves inadvertently entangled in a situation that has led to uncertainty and distress. Despite their earnest efforts to adhere to the law, unforeseen circumstances have ensnared them in a matter where their involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. Their commitment to integrity remains unwavering, and they are prepared to provide any assistance required to clarify their position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. They seek no special treatment but merely a fair opportunity to present their case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to them, and they are determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review their circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with their integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration they rightfully deserve.",Same As Offence,Same As Offence,Same As Offence,Same As Offence,,"Abetment of any offence, when one act is abetted and a different act is done (subject to the proviso)"
IPC Section 113,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.       ",Same As Offence,Same As Offence,Same As Offence,Same As Offence,,"Abetment of any offence, when an effect is caused by the act abetted different from that intended by the abettor"
IPC Section 114,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",Same As Offence,Same As Offence,Same As Offence,Same As Offence,,"Abetment of any offence, if abettor is present when offence is committed"
IPC Section 115,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.","
Non-Bailable
Non-Bailable
","
7 Years + Fine
14 Years + Fine
","
Same As Offence
Same As Offence
","
Same As Offence
Same As Offence
",,"
Abetment of an offence, punishable with death or imprisonment for life, If the offence be not committed in consequence of the abetment
If an act which causes harm to be done in consequence of the abetment
"
IPC Section 116,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.





 ","
Same As Offence
Same As Offence
","
One-Fourth of Offence or Fine or Both
Half of Offence or Fine or Both
","
Same As Offence
Same As Offence
","
Same As Offence
Same As Offence
",,"
Abetment of an offence, punishable with imprisonment, If the offence be not committed in consequence of the abetment
If the abettor or the person abetted be a public servant whose duty it is to prevent the offence
"
IPC Section 117,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",Same As Offence,3 Years or Fine or Both,Same As Offence,Same As Offence,,"Abetting the commission of an offence by the public, or by more than ten persons"
IPC Section 118,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.","
Non-Bailable
Bailable
","
7 Years + Fine
3 Years + Fine
","
Same As Offence
Same As Offence
","
Same As Offence
Same As Offence
",,"
Concealing a design to commit an offence punishable with death or imprisonment for life, If the offence be committed
If the offence be not committed
"
IPC Section 119,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.","
Same As Offence
Non-Bailable
Same As Offence
","
Half of Offence or Fine or Both
10 Years
One-Fourth of Offence or Fine or Both
","
Same As Offence
Same As Offence
Same As Offence
","
Same As Offence
Same As Offence
Same As Offence
",,"
A public servant concealing a design to commit an offence which it is his duty to prevent, If The offence be committed
If the offence be punishable with death or imprisonment for life
If the offence be not committed
"
